W, 0x0, 3
W, 0x4, 7
W, 0x8, 4
W, 0xC, 12
W, 0x10, 6
W, 0x14, 18
W, 0x18, 8
W, 0x1C, 1
W, 0x20, 5
W, 0x24, 23
W, 0x28, 3
W, 0x2C, 41
W, 0x30, 29
W, 0x34, 17 
W, 0x38, 5
W, 0x3C, 1
W, 0x74, 19
W, 0x78, 13
W, 0x7C, 49
W, 0x80, 22
W, 0x84, 4
W, 0x88, 21
W, 0x8C, 37
W, 0x90, 34
W, 0x94, 50
W, 0x98, 0
W, 0x9C, 8
W, 0xA0, 14
W, 0xA4, 26
W, 0xA8, 7
W, 0xAC, 13
W, 0xB0, 0
W, 0xC0, 0
W, 0xC4, 0
W, 0xC8, 0
W, 0xCC, 0
W, 0xD0, 0
W, 0xD4, 0
W, 0xD8, 0
W, 0xDC, 0
W, 0xE0, 0
W, 0xE4, 0
W, 0xE8, 0
W, 0xEC, 0
W, 0xF0, 0
W, 0xF4, 0
W, 0xF8, 0
W, 0xFC, 0
R, 0x0,
R, 0x74,
R, 0xC0,
W, 0xC0, 57
R, 0x4,
R, 0x84,
R, 0xC0,
W, 0xC0, 85
R, 0x8,
R, 0x94,
R, 0xC0,
W, 0xC0, 285
R, 0xC,
R, 0xA4,
R, 0xC0,
W, 0xC0, 597
R, 0x0,
R, 0x78,
R, 0xC4,
W, 0xC4, 39
R, 0x4,
R, 0x88,
R, 0xC4,
W, 0xC4, 186
R, 0x8,
R, 0x98,
R, 0xC4,
W, 0xC4, 186
R, 0xC,
R, 0xA8,
R, 0xC4,
W, 0xC4, 270
R, 0x0,
R, 0x7C,
R, 0xC8,
W, 0xC8, 147
R, 0x4,
R, 0x8C,
R, 0xC8,
W, 0xC8, 406
R, 0x8,
R, 0x9C,
R, 0xC8,
W, 0xC8, 438
R, 0xC,
R, 0xAC,
R, 0xC8,
W, 0xC8, 594
R, 0x0,
R, 0x80,
R, 0xCC,
W, 0xCC, 66
R, 0x4,
R, 0x90,
R, 0xCC,
W, 0xCC, 304
R, 0x8,
R, 0xA0,
R, 0xCC,
W, 0xCC, 360
R, 0xC,
R, 0xB0,
R, 0xCC,
W, 0xCC, 360
R, 0x10,
R, 0x74,
R, 0xD0,
W, 0xD0, 114
R, 0x14,
R, 0x84,
R, 0xD0,
W, 0xD0, 186
R, 0x18,
R, 0x94,
R, 0xD0,
W, 0xD0, 586
R, 0x1C,
R, 0xA4,
R, 0xD0,
W, 0xD0, 612
R, 0x10,
R, 0x78,
R, 0xD4,
W, 0xD4, 78
R, 0x14,
R, 0x88,
R, 0xD4,
W, 0xD4, 456
R, 0x18,
R, 0x98,
R, 0xD4,
W, 0xD4, 456
R, 0x1C,
R, 0xA8,
R, 0xD4,
W, 0xD4, 463
R, 0x10,
R, 0x7C,
R, 0xD8,
W, 0xD8, 294
R, 0x14,
R, 0x8C,
R, 0xD8,
W, 0xD8, 960
R, 0x18,
R, 0x9C,
R, 0xD8,
W, 0xD8, 1024
R, 0x1C,
R, 0xAC,
R, 0xD8,
W, 0xD8, 1037
R, 0x10,
R, 0x80,
R, 0xDC,
W, 0xDC, 132
R, 0x14,
R, 0x90,
R, 0xDC,
W, 0xDC, 744
R, 0x18,
R, 0xA0,
R, 0xDC,
W, 0xDC, 856
R, 0x1C,
R, 0xB0,
R, 0xDC,
W, 0xDC, 856
R, 0x20,
R, 0x74,
R, 0xE0,
W, 0xE0, 95
R, 0x24,
R, 0x84,
R, 0xE0,
W, 0xE0, 187
R, 0x28,
R, 0x94,
R, 0xE0,
W, 0xE0, 337
R, 0x2C,
R, 0xA4,
R, 0xE0,
W, 0xE0, 1403
R, 0x20,
R, 0x78,
R, 0xE4,
W, 0xE4, 65
R, 0x24,
R, 0x88,
R, 0xE4,
W, 0xE4, 548
R, 0x28,
R, 0x98,
R, 0xE4,
W, 0xE4, 548
R, 0x2C,
R, 0xA8,
R, 0xE4,
W, 0xE4, 835
R, 0x20,
R, 0x7C,
R, 0xE8,
W, 0xE8, 245
R, 0x24,
R, 0x8C,
R, 0xE8,
W, 0xE8, 1096
R, 0x28,
R, 0x9C,
R, 0xE8,
W, 0xE8, 1120
R, 0x2C,
R, 0xAC,
R, 0xE8,
W, 0xE8, 1653
R, 0x20,
R, 0x80,
R, 0xEC,
W, 0xEC, 110
R, 0x24,
R, 0x90,
R, 0xEC,
W, 0xEC, 892
R, 0x28,
R, 0xA0,
R, 0xEC,
W, 0xEC, 934
R, 0x2C,
R, 0xB0,
R, 0xEC,
W, 0xEC, 934
R, 0x30,
R, 0x74,
R, 0xF0,
W, 0xF0, 551
R, 0x34,
R, 0x84,
R, 0xF0,
W, 0xF0, 619
R, 0x38,
R, 0x94,
R, 0xF0,
W, 0xF0, 869
R, 0x3C,
R, 0xA4,
R, 0xF0,
W, 0xF0, 895
R, 0x30,
R, 0x78,
R, 0xF4,
W, 0xF4, 377
R, 0x34,
R, 0x88,
R, 0xF4,
W, 0xF4, 734
R, 0x38,
R, 0x98,
R, 0xF4,
W, 0xF4, 734
R, 0x3C,
R, 0xA8,
R, 0xF4,
W, 0xF4, 741
R, 0x30,
R, 0x7C,
R, 0xF8,
W, 0xF8, 1421
R, 0x34,
R, 0x8C,
R, 0xF8,
W, 0xF8, 2050
R, 0x38,
R, 0x9C,
R, 0xF8,
W, 0xF8, 2090
R, 0x3C,
R, 0xAC,
R, 0xF8,
W, 0xF8, 2103
R, 0x30,
R, 0x80,
R, 0xFC,
W, 0xFC, 638
R, 0x34,
R, 0x90,
R, 0xFC,
W, 0xFC, 1216
R, 0x38,
R, 0xA0,
R, 0xFC,
W, 0xFC, 1286
R, 0x3C,
R, 0xB0,
R, 0xFC,
W, 0xFC, 1286